Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
130,Richmond,A10,107.6,104.7,0.5782,53.80%,51.10%,4.1,2.61,272
,,,100,180,,,,,,
131,St. Thomas,Sum,106.9,104,0.5779,41.50%,40.60%,16.3,1.31,43
,,,110,161,,,,,,
132,Nevada,MWC,102.3,99.8,0.5725,16.70%,14.10%,20.8,2.11,224
,,,201,87,,,,,,
133,Loyola Marymount,WCC,105.2,102.6,0.5695,18.10%,15.40%,33.1,2.01,226
,,,139,138,,,,,,
134,Towson,CAA,105.7,103.2,0.5683,42.20%,43.80%,3.2,2.26,154
,,,134,145,,,,,,
135,St. Bonaventure,A10,103.5,101.1,0.5678,16.80%,7.20%,12.8,1.95,179
,,,167,109,,,,,,
136,Drake,MVC,101.9,99.7,0.5616,0.60%,0.50%,14.4,1.77,164
,,,210,85,,,,,,
137,James Madison,SB,106.3,104.1,0.5614,17.20%,11.80%,29.2,2.26,379
,,,121,163,,,,,,
138,Southern Illinois,MVC,104.2,102.2,0.555,42.70%,32.80%,19.6,2.25,271
,,,153,126,,,,,,
139,Tulsa,Amer,107.6,105.7,0.55,11.00%,9.10%,8.7,2.21,503
,,,99,209,,,,,,
140,Charleston,CAA,106.4,104.7,0.5458,13.00%,3.30%,6.1,2.14,448
,,,120,181,,,,,,
141,UTSA,Amer,108.5,106.8,0.5448,46.20%,44.30%,24.1,2.59,452
,,,90,242,,,,,,
142,UC San Diego,BW,102.7,101.3,0.5398,9.20%,6.50%,9.7,1.79,201
,,,194,112,,,,,,
143,Ohio,MAC,106.5,105.1,0.5394,46.00%,40.60%,8.9,2.54,157
,,,118,191,,,,,,
144,Troy,SB,102.9,101.5,0.5392,38.50%,33.70%,0,1.55,39
,,,187,116,,,,,,
145,Middle Tennessee,CUSA,102.6,101.5,0.5318,31.20%,25.30%,18.2,2.21,190
,,,195,115,,,,,,
146,San Diego,WCC,108.7,107.6,0.5273,19.70%,12.80%,30.5,2.7,455
,,,87,265,,,,,,
147,Nebraska Omaha,Sum,106.8,105.8,0.5255,68.60%,58.40%,0,2.79,98
,,,114,213,,,,,,
148,Furman,SC,106,105.3,0.5186,56.00%,47.60%,14.6,2,38
,,,128,200,,,,,,
149,UTEP,CUSA,103.1,102.6,0.5142,13.60%,11.10%,0.1,2.28,303
,,,179,136,,,,,,
150,Fordham,A10,107.2,106.7,0.5118,2.60%,1.60%,9.6,2.69,410
,,,105,240,,,,,,
Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
151,South Dakota St.,Sum,104.9,104.4,0.5116,58.40%,55.00%,16.5,1.72,34
,,,142,173,,,,,,
152,Washington St.,WCC,103.3,102.9,0.5111,30.80%,18.10%,11.9,1.65,108
,,,171,142,,,,,,
153,Jacksonville St.,CUSA,102.5,102.3,0.5043,18.50%,6.80%,0,2.68,160
,,,199,129,,,,,,
154,Iona,MAAC,106.8,106.6,0.504,8.30%,5.90%,35.1,2.27,335
,,,113,236,,,,,,
155,Louisiana Tech,CUSA,101.1,101.1,0.4997,26.40%,20.90%,24.6,1.71,179
,,,227,110,,,,,,
156,Davidson,A10,103.7,103.8,0.4973,30.70%,17.00%,22.4,1.68,176
,,,163,153,,,,,,
157,Harvard,Ivy,104,104.1,0.4972,76.80%,75.80%,13.5,1.56,0
,,,158,164,,,,,,
158,Siena,MAAC,106.4,106.8,0.4896,72.30%,71.00%,18.4,2.19,56
,,,119,243,,,,,,
159,Western Kentucky,CUSA,104.7,105.1,0.4886,11.90%,5.90%,12.2,2.48,281
,,,143,195,,,,,,
160,Southeast Missouri St.,OVC,102.8,103.3,0.4873,62.00%,54.80%,8.6,2.52,58
,,,191,146,,,,,,
161,Rhode Island,A10,103,103.6,0.4848,0.00%,0.00%,7.4,2.41,372
,,,181,150,,,,,,
162,Wyoming,MWC,104.4,105.1,0.482,26.20%,18.60%,9.9,2.4,296
,,,147,194,,,,,,
163,Illinois Chicago,MVC,103.2,103.9,0.4805,12.20%,15.30%,13.1,2.38,296
,,,176,158,,,,,,
164,Chattanooga,SC,104.3,105.2,0.4756,21.20%,22.30%,0,2.41,227
,,,149,198,,,,,,
165,Florida Gulf Coast,ASun,102.9,103.8,0.4753,43.90%,35.60%,31.9,1.95,89
,,,185,154,,,,,,
166,Florida Atlantic,Amer,103.2,104.1,0.4749,14.80%,12.90%,50.3,1.1,189
,,,175,166,,,,,,
167,Campbell,CAA,105.2,106.4,0.4676,25.70%,21.30%,0,2.82,421
,,,138,231,,,,,,
168,Brown,Ivy,100.1,101.2,0.4661,57.50%,51.20%,8.3,1.88,0
,,,250,111,,,,,,
169,Eastern Kentucky,ASun,104.5,105.9,0.4641,27.10%,19.70%,14.1,1.8,170
,,,145,216,,,,,,
170,Missouri St.,CUSA,102.5,103.9,0.4608,32.80%,32.50%,4.7,2.06,147
,,,200,157,,,,,,
171,Cornell,Ivy,106.3,108.2,0.4503,55.30%,42.70%,5.3,2.36,59
,,,122,284,,,,,,
172,FIU,CUSA,103.6,105.4,0.4488,13.50%,13.20%,0,2.4,343
,,,164,204,,,,,,
173,Massachusetts,MAC,102.3,104.2,0.4487,26.10%,19.10%,10.3,2.55,329
,,,202,168,,,,,,
174,Old Dominion,SB,105.9,107.8,0.4473,45.30%,39.00%,18.8,2.52,331
,,,129,270,,,,,,
175,North Alabama,ASun,102.7,104.6,0.447,38.70%,32.60%,6.9,1.84,79
,,,192,179,,,,,,
176,East Tennessee St.,SC,103,105,0.4452,24.90%,20.30%,5.4,2.39,316
,,,182,189,,,,,,
177,William & Mary,CAA,105.4,107.6,0.4423,33.30%,30.80%,0,2.72,228
,,,137,260,,,,,,
178,Winthrop,BSth,101.5,103.6,0.4414,13.10%,9.30%,14.4,2.66,272
,,,216,151,,,,,,
179,Idaho,BSky,107,109.3,0.4401,62.70%,66.30%,6.8,2.24,92
,,,108,306,,,,,,
180,Princeton,Ivy,101.9,104.1,0.439,56.90%,54.80%,20.6,1.62,0
,,,209,165,,,,,,
181,Jackson St.,SWAC,103.5,105.9,0.4339,61.70%,58.40%,27.4,2.15,82
,,,165,218,,,,,,
182,Robert Morris,Horz,102.9,105.3,0.4333,25.60%,21.50%,4.6,2.1,224
,,,190,201,,,,,,
183,South Alabama,SB,99.2,101.6,0.4323,38.50%,26.60%,7.7,2.2,92
,,,271,117,,,,,,
184,Hampton,CAA,102,104.6,0.4299,36.10%,28.10%,11.5,2.42,237
,,,207,177,,,,,,
185,Monmouth,CAA,104,106.6,0.4289,46.90%,38.00%,8.8,2.32,122
,,,159,235,,,,,,
186,Bethune Cookman,SWAC,104.1,107.2,0.4181,32.30%,28.40%,7.4,2.73,505
,,,154,247,,,,,,
187,Cal Baptist,WAC,101.3,104.3,0.4159,32.00%,40.00%,0,1.84,91
,,,221,171,,,,,,
188,Marist,MAAC,99.3,102.3,0.4153,66.30%,65.30%,0,2.29,69
,,,269,128,,,,,,
189,Stephen F. Austin,Slnd,99.4,102.4,0.415,31.60%,30.30%,0,2.03,140
,,,268,131,,,,,,
190,Cal St. Northridge,BW,101.7,105,0.4115,8.40%,8.20%,32.7,2.33,235
,,,212,187,,,,,,
191,Southern,SWAC,99.9,103.1,0.4083,35.90%,42.40%,0,2.27,62
,,,256,144,,,,,,
192,Dartmouth,Ivy,100.6,103.9,0.4081,57.10%,54.90%,0,1.86,0
,,,236,156,,,,,,
193,Lamar,Slnd,100.1,103.4,0.4076,41.20%,30.30%,0,2.05,31
,,,246,149,,,,,,
194,Vermont,AE,101.4,104.8,0.4046,40.10%,34.40%,0,2.43,248
,,,218,183,,,,,,
195,East Carolina,Amer,100.3,103.8,0.4032,24.20%,15.80%,10.1,1.98,158
,,,240,155,,,,,,
196,Manhattan,MAAC,105.5,109.2,0.4027,54.90%,53.10%,0,1.68,109
,,,135,303,,,,,,
197,Incarnate Word,Slnd,104.2,107.9,0.4025,35.30%,25.20%,0,2.3,247
,,,151,272,,,,,,
198,La Salle,A10,102.7,106.3,0.4022,7.50%,4.20%,7.4,2.42,452
,,,193,228,,,,,,
199,Navy,Pat,103.3,107,0.4001,85.60%,87.10%,0,2.5,0
,,,170,246,,,,,,
200,Fresno St.,MWC,102.9,106.6,0.3998,34.90%,26.80%,5.3,1.87,111
,,,189,234,,,,,,
